"","H3K27me3_K562_E1_IRpseudo12","H3K27me3_K562_E1_IRpseudo1","H3K27me3_K562_E1_IRpseudo2","H3K27me3_K562_E1_IR12","H3K27me3_K562_E2_IRpseudo123","H3K27me3_K562_E2_IRpseudo1","H3K27me3_K562_E2_IRpseudo2","H3K27me3_K562_E2_IRpseudo3","H3K27me3_K562_E2_IR123","H3K27me3_A549_E1_IRpseudo12","H3K27me3_A549_E1_IRpseudo1","H3K27me3_A549_E1_IRpseudo2","H3K27me3_A549_E1_IR12","H3K27me3_A549_E2_IRpseudo12","H3K27me3_A549_E2_IRpseudo1","H3K27me3_A549_E2_IRpseudo2","H3K27me3_A549_E2_IR12"
"H3K27me3_K562_E1_IRpseudo12",100,71.7656866865557,62.7639710897829,81.245564596697,41.2363320678798,11.9134071476309,20.492769000751,35.8607955132666,19.8058412969636,18.773038259875,16.0060355934656,8.45189783586769,17.1814605309393,26.4567070187889,25.8455687306651,7.32194654779212,20.0924630871096
"H3K27me3_K562_E1_IRpseudo1",83.7909878786074,100,57.2832593739762,77.3885397742502,39.5173779670608,10.6069630997409,19.682371861691,35.0790719837984,19.3674241296125,17.8343806772493,15.104089108616,7.96825207731483,16.3162283706108,25.6492539535992,25.0923251034935,6.87226375197308,19.5021889984215
"H3K27me3_K562_E1_IRpseudo2",86.9539492249015,67.4631566490984,100,81.3703268794888,49.6736666757694,14.3814231227869,24.4290304668797,43.6485613115232,24.270642744659,19.7975550033225,16.9438451805529,9.4277105691945,18.2864997223663,27.4129095096353,26.8394367222844,8.17608345394467,21.1538636591205
"H3K27me3_K562_E1_IR12",88.3056876474333,71.1543790017598,63.0104466993672,100,42.3072602688434,12.2447298461078,21.3704272288164,36.9244018422136,20.4335941887895,18.6430523832703,15.9051933949901,8.45096791103456,17.0629422997716,26.3092073239226,25.7378215449133,7.36136593402479,19.9782828471936
"H3K27me3_K562_E2_IRpseudo123",73.2626924200075,60.910266572108,66.2792540987026,70.4676484084936,100,16.9229485628468,25.1028325893788,67.8411413791665,29.3271035834967,18.3171332026198,15.4036126986776,8.54699428476075,17.0239038838597,25.8787701806349,25.1604021526011,7.32969004213425,20.5097826540403
"H3K27me3_K562_E2_IRpseudo1",57.5470884255931,46.1250898634076,53.4291876347951,55.0107836089145,61.0208483105679,100,16.8511861969806,47.1689432063264,47.4766355140187,18.6628324946082,15.7958303378864,8.7706685837527,17.3572969086988,25.7972681524083,24.9230769230769,7.57728253055356,20.9978432782171
"H3K27me3_K562_E2_IRpseudo2",75.0212881250968,64.0927388140579,67.1853228053878,72.6234711255612,63.0573618207153,11.5613872116427,100,47.7337823192445,35.6924446508747,15.5306549001393,13.1038086391082,6.81994116736337,14.295943644527,23.1769623780771,22.7279764669453,5.5039479795634,17.7504257625019
"H3K27me3_K562_E2_IRpseudo3",74.8002881441581,63.6099732283973,67.8407465944156,72.113451386425,83.0005698373276,16.5607629369201,23.7568407358428,100,30.1218161683278,19.3594168306293,16.3220763582019,9.34533217215538,17.9498758184692,26.8210603274952,26.1695104774807,8.14974894902644,21.2850369319098
"H3K27me3_K562_E2_IR123",80.1323069521289,68.1717584796728,73.7984123165745,77.1421698340149,84.5561703151311,36.2737551118595,37.4717344238634,65.4221794563387,100,19.3384652393553,16.4854462352658,9.50926148664903,18.0153957180659,26.8246331489055,26.160692807313,8.34736588886216,21.2701467404378
"H3K27me3_A549_E1_IRpseudo12",19.5365918135507,16.6736923329737,15.9592177932739,18.2191007623443,12.0224630795282,4.15895629559241,5.05776526653473,10.6928259611469,5.38428013117753,100,63.9926266227503,26.4519908833049,67.8000614448104,81.8544901152447,79.0044511763823,22.8374641869637,65.1393582589684
"H3K27me3_A549_E1_IRpseudo1",21.2350911511397,18.0690267249889,17.4450512130845,19.8123545340107,13.0717888807383,4.54080292697947,5.44823901250668,11.6671647603264,5.90286268010614,86.0723956493783,100,30.8048287916248,68.4978400847665,87.2560473098414,84.8479908713017,27.0863332156021,71.5633801541373
"H3K27me3_A549_E1_IRpseudo2",26.9069197142553,22.7422966201088,23.0749546860006,25.2948075487792,17.4688133063226,5.88548885808722,6.72779614031347,16.0166329032946,8.09894445036784,95.2724171020365,78.6821622774283,100,93.5494189145964,93.4022816931443,91.7837722571703,42.0620535238298,85.2500266552937
"H3K27me3_A549_E1_IR12",21.0117275164386,17.9685112254076,17.3319245177572,19.5988368539169,13.2382091741837,4.66218989320363,5.61488687269139,11.7580795864369,6.00871486329541,82.8654260939424,59.8723333653519,31.5140983434774,100,84.4127946069143,81.6979138468524,25.8669018573662,68.7548573574229
"H3K27me3_A549_E2_IRpseudo12",19.4348669011714,17.0039122813128,15.5707635333589,18.1607634172674,11.9806359488733,4.44630190738225,5.69254344721903,10.578831887995,5.4957684672448,52.2939667281951,42.6055561360127,18.5270318903168,45.8944264502722,100,85.039296950278,18.8671797908032,52.2817771276657
"H3K27me3_A549_E2_IRpseudo1",19.9979577371728,17.5250177196334,16.0563904806526,18.7161374803282,12.263187611874,4.48697156449346,5.83426436491633,10.8606335820089,5.5921961533379,54.5380281351738,44.7802164798597,19.5985151547915,48.0748669525835,92.2400019221297,100,19.1630326401653,52.7480448336757
"H3K27me3_A549_E2_IRpseudo2",23.380992430614,19.7111735625346,19.9429731891936,21.9840406982707,15.2413382838622,5.02779544195778,5.4113930542165,14.1315719296806,7.18989107468871,75.8333504277011,67.9295985558678,42.7988266425978,72.3153295452214,91.5095694270652,85.5053436993579,100,92.8306221666085
"H3K27me3_A549_E2_IR12",21.0779842663322,18.5972713107589,17.4039448181507,19.73834226428,13.9531790369779,5.66830083988903,6.75616615361228,12.4472694105575,6.59274883137613,60.9660624026147,51.0878653137233,25.9434500057006,55.2654581385627,85.5755710105271,75.2470261847756,31.2412115684263,100
