"","H3K9ac_K562_E1_IRpseudo12","H3K9ac_K562_E1_IRpseudo1","H3K9ac_K562_E1_IRpseudo2","H3K9ac_K562_E1_IR12","H3K9ac_K562_E2_IRpseudo12","H3K9ac_K562_E2_IRpseudo1","H3K9ac_K562_E2_IRpseudo2","H3K9ac_K562_E2_IR12","H3K9ac_A549_E1_IRpseudo12","H3K9ac_A549_E1_IRpseudo1","H3K9ac_A549_E1_IRpseudo2","H3K9ac_A549_E1_IR12"
"H3K9ac_K562_E1_IRpseudo12",100,48.1580760006307,71.6844123187744,65.4719126299803,31.3081436360468,29.1438103220774,25.0433613556959,29.7877990688719,29.2624835060872,28.5321869891036,23.9968796421547,27.8691109469788
"H3K9ac_K562_E1_IRpseudo1",80.4890585045552,100,60.2212713465171,77.9409686082521,35.7503565783894,35.2337997764157,29.0428279557457,33.8036313172198,36.2090898577541,35.36872132917,31.9943975431428,35.2556442182902
"H3K9ac_K562_E1_IRpseudo2",81.6046482877982,41.1907909126354,100,57.1678537805377,36.6328442233993,33.7685555883108,29.4588092090874,34.9040006846905,32.6540315908594,31.9541257358046,26.9663455594968,31.0906549254924
"H3K9ac_K562_E1_IR12",83.7523089662201,59.2677126902907,62.344211129748,100,29.6853436378692,28.7882969914436,23.8327777659823,27.9931633368012,31.0983248051976,30.3562708337757,26.5483343595405,29.897662370751
"H3K9ac_K562_E2_IRpseudo12",72.9478197218446,54.0233190421416,74.6130921259019,61.053016835721,100,78.9475060127575,73.1674160828192,83.8675101955453,55.5082087211126,54.8441911534037,49.236641221374,53.1763045069539
"H3K9ac_K562_E2_IRpseudo1",79.4589148665066,60.6483539277565,80.5375292618603,67.9378907754763,94.6039647968708,100,73.9058286662518,86.3869380982013,60.5061190624352,59.8067976412718,54.3455714582037,58.411118025306
"H3K9ac_K562_E2_IRpseudo2",70.7370369418237,54.2276151057868,72.3386205300908,60.8036196303247,90.9046505051544,77.7552122162523,100,88.3724517339777,58.6364688038253,57.9680711586416,53.0527777063678,56.8472197228721
"H3K9ac_K562_E2_IR12",72.9188441004491,53.5323860907884,74.6758566142199,60.6310556198977,90.6217338493263,77.057145278382,76.0571735261716,100,55.7131154487161,55.153809214429,49.6426654614276,53.4984887432558
"H3K9ac_A549_E1_IRpseudo12",46.2601914214817,38.0090497737557,45.1216714973831,42.1398336009342,36.5348124361407,35.08559751444,31.0903517734637,34.530933961674,100,93.7840148466334,63.0648289092312,79.3773588840002
"H3K9ac_A549_E1_IRpseudo1",46.4075571388544,37.9878317255734,45.3828603450346,42.2467277748869,37.0612016170996,35.6262258335668,31.403354280911,35.0498338870432,96.3134931753592,100,63.6232638193972,79.3839811071529
"H3K9ac_A549_E1_IRpseudo2",54.7244883354802,47.4137684270789,53.5050808644626,51.2408759124088,45.7850293402032,44.7316444826106,39.5591813367683,43.5952483183054,97.1947903248891,94.9735222556176,100,97.695720624016
"H3K9ac_A549_E1_IR12",51.5753647488676,43.8224179784279,50.3466052704022,47.7339272754573,41.3924272379189,40.188693410746,35.5164043144223,39.2427237918867,95.2651467754448,91.3311143922521,76.0029029755499,100
