"","Sample","PeakN_Before_Tidy","Blacklisted_Peaks_Removed","Non.standard_Peaks_Removed....","PeakN_After_Tidy","Read_Depth","Category"
"1","H3K27ac_Abcam_pA_Tn5_F10_P6_R1",73765,0.21,0.493,73.246,18.58604,"H3K27ac Bulk"
"2","H3K27ac_Abcam_pA_Tn5_F10_P9_R1",65526,0.192,0.491,65.078,12.714416,"H3K27ac Bulk"
"3","H3K27ac_Abcam_pA_Tn5_F6_P9_R1",60064,0.0999,0.526,59.688,4.966844,"H3K27ac Bulk"
"4","H3K27ac_Abcam_pA_Tn5_F6_P9_R2",110709,0.174,0.447,110.021,23.548562,"H3K27ac Bulk"
"5","H3K27ac_Abcam_Tn5_F10_P7_R1",115270,0.12,0.37,114.706,20.382348,"H3K27ac Bulk"
"6","H3K27ac_Abcam_Tn5_F6_P7_R1",99997,0.077,0.426,99.494,16.132256,"H3K27ac Bulk"
"7","H3K27ac_Diagenode_pA_Tn5_F10_P9_R1",71682,0.151,0.632,71.121,7.182666,"H3K27ac Bulk"
"8","H3K27me3_Cell_Signaling_pA_Tn5_F10_P6_R1",64540,0.0651,0.318,64.293,4.59116,"H3K27me3 Bulk"
"9","H3K27me3_Cell_Signaling_pA_Tn5_F10_P9_R1",61249,0.126,0.41,60.921,17.258446,"H3K27me3 Bulk"
"10","H3K27me3_Cell_Signaling_Tn5_F10_P7_R1",73885,0.142,0.357,73.516,16.768314,"H3K27me3 Bulk"
"11","H3K27me3_Cell_Signaling_Tn5_F6_P7_R1",79974,0.175,0.366,79.541,17.656042,"H3K27me3 Bulk"
"12","scTIP_Top01",86202,0.102,0.377,85.789,0.396612,"H3K27ac Single Cell"
"13","scTIP_Top02",80201,0.0985,0.404,79.798,0.367418,"H3K27ac Single Cell"
"14","scTIP_Top03",74447,0.126,0.373,74.075,0.345374,"H3K27ac Single Cell"
"15","scTIP_Top04",72356,0.131,0.417,71.959,0.32731,"H3K27ac Single Cell"
"16","scTIP_Top05",70543,0.108,0.383,70.197,0.317392,"H3K27ac Single Cell"
"17","scTIP_Top06",66915,0.115,0.384,66.581,0.303992,"H3K27ac Single Cell"
"18","scTIP_Top07",66596,0.119,0.383,66.262,0.301652,"H3K27ac Single Cell"
"19","scTIP_Top08",64614,0.118,0.396,64.282,0.292586,"H3K27ac Single Cell"
"20","scTIP_Top09",65089,0.131,0.401,64.743,0.292126,"H3K27ac Single Cell"
"21","scTIP_Top10",63056,0.147,0.442,62.684,0.288384,"H3K27ac Single Cell"
